"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (mV)","IOKI 2_AV (mV)","IOKI 2_MN (mV)","IOKI 2_MX (mV)","IOKI 2_SD (mV)","IOKI 2_NUM (mV)","IOKI 2_INT (mV)","IOKI 2_IMN (mV)","IOKI 2_IMX (mV)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/31 09:07:50.235,n,32.971356,35.03528,32.815536,38.066728,1.633724,10,350.17116,2025/01/31 09:07:43.002,2025/01/31 09:07:42.002,38.200636,35.88366,33.5637,38.33128,1.891679,10,357.98448,2025/01/31 09:07:44.006,2025/01/31 09:07:43.002,6.893337,6.891585,6.857002,6.929832,0.019488,10,68.943216,2025/01/31 09:07:49.002,2025/01/31 09:07:41.006
2025/01/31 09:08:00.239,n,33.891124,36.244956,33.243516,38.073832,1.605958,10,362.12324,2025/01/31 09:07:51.002,2025/01/31 09:07:57.007,36.182784,35.577192,34.376232,37.045852,0.835609,10,356.90244,2025/01/31 09:07:52.002,2025/01/31 09:07:58.002,6.896824,6.889272,6.85811,6.904328,0.012758,10,68.915392,2025/01/31 09:07:52.002,2025/01/31 09:07:56.003
2025/01/31 09:08:10.225,n,35.029464,35.598884,33.055222,37.506972,1.578254,10,355.25824,2025/01/31 09:08:08.002,2025/01/31 09:08:07.002,39.06044,35.81446,33.921432,39.06044,1.547497,10,356.53224,2025/01/31 09:08:09.005,2025/01/31 09:08:10.002,6.91643,6.90081,6.88453,6.91643,0.013902,10,68.964664,2025/01/31 09:08:05.002,2025/01/31 09:08:10.002
2025/01/31 09:08:20.229,n,36.591264,35.740832,33.655592,37.782972,1.561736,10,356.77016,2025/01/31 09:08:11.002,2025/01/31 09:08:13.002,36.348612,35.568772,32.7556,37.46916,1.418083,10,357.13236,2025/01/31 09:08:12.004,2025/01/31 09:08:17.002,6.883422,6.897238,6.870212,6.91643,0.014499,10,68.986304,2025/01/31 09:08:15.124,2025/01/31 09:08:19.007
2025/01/31 09:08:30.231,n,36.280744,36.161712,33.762648,38.803416,1.68483,10,361.39308,2025/01/31 09:08:25.006,2025/01/31 09:08:29.002,36.491408,35.0282,33.379776,36.491408,0.986618,10,350.43464,2025/01/31 09:08:23.002,2025/01/31 09:08:30.002,6.927476,6.929784,6.886714,6.981594,0.038845,10,69.273472,2025/01/31 09:08:24.002,2025/01/31 09:08:29.002
2025/01/31 09:08:40.234,n,33.23872,35.281268,32.272594,38.63466,2.173143,10,354.35744,2025/01/31 09:08:36.002,2025/01/31 09:08:39.002,38.542008,35.930208,31.653762,38.542008,2.14548,10,358.31572,2025/01/31 09:08:39.002,2025/01/31 09:08:40.003,6.914266,6.939953,6.914266,6.96379,0.017372,10,69.411152,2025/01/31 09:08:40.003,2025/01/31 09:08:38.009
2025/01/31 09:08:50.238,n,35.967756,36.0537,34.7036,36.747936,0.657984,10,359.27216,2025/01/31 09:08:46.002,2025/01/31 09:08:49.002,37.222544,35.715564,33.85362,37.61082,1.441194,10,358.1906,2025/01/31 09:08:49.002,2025/01/31 09:08:47.007,6.914266,6.917608,6.895749,6.932967,0.011791,10,69.198008,2025/01/31 09:08:45.002,2025/01/31 09:08:43.002
2025/01/31 09:09:00.241,n,35.362164,35.359404,32.84111,37.053724,1.377168,10,354.0064,2025/01/31 09:08:56.004,2025/01/31 09:08:59.004,37.157884,36.143988,33.34074,37.649368,1.540223,10,361.58336,2025/01/31 09:08:59.004,2025/01/31 09:08:52.002,6.949664,6.931555,6.908768,6.951848,0.015073,10,69.319888,2025/01/31 09:08:53.006,2025/01/31 09:08:57.002
2025/01/31 09:09:10.227,n,36.527112,36.261048,34.74882,38.822984,1.439424,10,361.77184,2025/01/31 09:09:06.008,2025/01/31 09:09:09.009,32.78038,34.859144,32.78038,37.900832,1.487287,10,350.53,2025/01/31 09:09:10.002,2025/01/31 09:09:01.002,6.936263,6.94037,6.918669,6.959579,0.012624,10,69.36204,2025/01/31 09:09:04.002,2025/01/31 09:09:09.009
2025/01/31 09:09:20.231,n,35.45192,34.742536,32.43135,35.953504,1.241945,10,348.17024,2025/01/31 09:09:13.002,2025/01/31 09:09:15.005,35.924236,35.686448,34.538404,36.859392,0.794198,10,355.03812,2025/01/31 09:09:11.190,2025/01/31 09:09:18.005,6.912013,6.910971,6.895749,6.939591,0.01289,10,69.11988,2025/01/31 09:09:19.002,2025/01/31 09:09:12.006
2025/01/31 09:09:30.234,n,36.056348,35.448444,33.464188,36.90684,1.261148,10,354.20784,2025/01/31 09:09:23.002,2025/01/31 09:09:24.004,34.896372,36.041128,34.896372,37.789288,0.96116,10,360.9406,2025/01/31 09:09:30.003,2025/01/31 09:09:29.002,6.898803,6.899988,6.887826,6.913171,0.009021,10,69.010704,2025/01/31 09:09:24.004,2025/01/31 09:09:23.002
2025/01/31 09:09:40.238,n,37.304548,36.012112,33.902296,38.801836,1.360442,10,359.58992,2025/01/31 09:09:37.010,2025/01/31 09:09:34.007,33.931808,35.645468,33.011306,40.321516,2.124234,10,357.00416,2025/01/31 09:09:36.002,2025/01/31 09:09:37.010,6.913171,6.906554,6.888921,6.934247,0.014499,10,69.075304,2025/01/31 09:09:39.006,2025/01/31 09:09:34.007
2025/01/31 09:09:50.372,n,34.357952,35.404152,34.357952,37.480208,0.986948,10,360.1882,2025/01/31 09:09:50.139,2025/01/31 09:09:41.002,34.619456,36.450176,34.03706,39.181748,1.988765,10,368.84944,2025/01/31 09:09:41.002,2025/01/31 09:09:42.002,6.89459,6.912548,6.889996,6.936263,0.015947,10,70.06256,2025/01/31 09:09:42.002,2025/01/31 09:09:44.002
